company,symbol1,symbol2
APB Apranga,APG1L,APG1L.VS
Arco Vara AS,ARC1T,ARC1T.TL
Auga Group AB,AUG1L,AUG1L.VS
AS Baltika,BLT1T,BLT1T.TL
Coop Pank AS,CPA1T,CPA1T.TL
DelfinGroup AS,DGR1R,DGR1R.RG
AS Ekspress Grupp,EEG1T,EEG1T.TL
EfTEN Real Estate Fund III AS,EFT1T,EFT1T.TL
Enefit Green AS,EGR1T,EGR1T.TL
Grigeo AB,GRG1L,GRG1L.VS
AS Harju Elekter,HAE1T,HAE1T.TL
AS HansaMatrix,HMX1R,HMX1R.RG
Hepsor AS,HPR1T,HPR1T.TL
IPAS Indexo AS,IDX1R,IDX1R.RG
AB Ignitis grupe,IGN1L,IGN1L.VS
AB Klaipedos nafta,KNF1L,KNF1L.VS
AS LHV Group,LHV1T,LHV1T.TL
AB Linas Agro Group,LNA1L,LNA1L.VS
AS Merko Ehitus,MERK,MRK1T.TL
Nordecon AS,NCN1T,NCN1T.TL
Novaturas AB,NTU1L,NTU1L.VS
AS Pro Kapital Grupp,PKG1T,PKG1T.TL
AS PRFoods,PRF1T,PRF1T.TL
AB Panevezio Statybos Trestas,PTR1L,PTR1L.VS
AB Pieno Zvaigzdes,PZV1L,PZV1L.VS
Rokiskio Suris AB,RSU1L,RSU1L.VS
AB Siauliu Bankas,SAB1L,SAB1L.VS
SAF Tehnika A/S,SAF1R,SAF1R.RG
AS Silvano Fashion Group,SFG1T,SFG1T.TL
AS Tallink Grupp,TAL1T,TAL1T.TL
"Telia Lietuva, AB",TEL1L,TEL1L.VS
Tallinna Kaubamaja Grupp AS,TKM1T,TKM1T.TL
AS Tallinna Sadam,TSM1T,TSM1T.TL
AS Tallinna Vesi,TVE1T,TVE1T.TL
AB Vilkyskiu pienine,VLP1L,VLP1L.VS
